WKT,name,description
"POINT (100.5472545 13.7270531)",One Bangkok,曼谷最大商场
"POINT (100.4925167 13.7576171)",National Museum Bangkok,
"POINT (99.99889270000001 13.4075512)",Rom Hup Market,
"POINT (100.5237535 13.7394304)",Chulalongkorn University Centenary Park,MRT坐到sam yan站
"POINT (100.5032671 13.7044191)",Asiatique The Riverfront,
"POINT (100.4780029 13.7208644)",Talat Phlu,Maha Chai - Wongwian Yai
"POINT (100.4738082 13.7200629)",At Talat Phlu,去过，咖啡厅，可以在屋顶天台拍水门寺大佛
"POINT (100.6235449 13.7575568)",Hua Mak Indoor Stadium,2025女排世锦赛球馆
"POINT (100.6347237 13.7633456)",โป๊ะข้ามฝั่ง空盛桑运河缆拉渡船,
"POINT (100.5450933 13.750356)",Lek Barber,平价理发店
"POINT (100.6733526 13.7852787)",Seri Thai Park,
"POINT (100.5839991 13.7195704)",Ekkamai Bus Terminal,去芭提雅方向的长途巴士站
NO.16柜台去Nongmon market 票價 95 泰銖，也去Si Racha
NO.28柜台去Pattaya大巴，车比较新
"POINT (100.661181 13.687775)",Suan Luang Rama IX Boating Lake,
"POINT (100.594616 13.7945792)",Sareena Mareena,初猜4站清真餐廳
