店名 (Name),电话号码 (Phone),Google 评分 (Rating),价格区间/类型 (Price Range)
IT Square Lak Si,+66 2 576 0123,4,฿ (平价美食广场 / 50-120 THB)
First One Night Market Talat Phlu,+66 62 654 4466,4.2,฿ (平价本地夜市小吃)
Thonburi Market Place,+66 92 989 5088,4.4,฿ - ฿฿฿ (海鲜及小吃 / 视海鲜品类而定)
便宜水果摊,Unknown,Unknown,฿ (本地极便宜水果)
BBB House - Bangkok Best Buffet House The Mall Lifestore Bangkapi,Unknown,Unknown,฿฿ (火锅烧烤自助 / 约 300-500 THB)
Laemcharoen Seafood The Mall Bangkapi,+66 2 690 2555 (客服热线),4.1,฿฿ - ฿฿฿ (连锁中高端海鲜 / 500-1000 THB)
Sushiro Central Bangrak,+66 2 004 0599,4.3,฿฿ (连锁回转寿司 / 每盘 40-120 THB)
GYUMA BBQ BUFFET,Unknown,4,฿฿ (日式烧肉自助 / 约 499-599 THB)
Mae Mungkorn Seafood Buffet @Ladprao 87,+66 95 996 6226,4.2,฿฿ (海鲜自助 / 约 499-799 THB)
Mungkorn Seafood Buffet & Fish Market,+66 95 996 6226,4.1,฿฿ (流水海鲜自助 / 约 499 THB)
MiVana Organic Forest Coffee,+66 2 301 1662,4.6,฿฿ (森林系精品有机咖啡 / 100-200 THB)
Train Night Market Srinagarindra,+66 81 827 5885,4.5,฿ (大型复古夜市小吃)
Ramkhamhaeng Night Market,Unknown,4.1,฿ (大学周边平价夜市)
Bang Kapi Market,Unknown,4,฿ (传统生鲜本地传统市场)
Happyland Center Food Court,Unknown,3.9,฿ (室内平价熟食中心 / 40-80 THB)
ก๋วยเตี๋ยวลูกชิ้นหมู ตลาดพลู百年手打肉丸粉,Unknown,4.2,฿ (传统街头老店 / 40-60 THB)
Khanom Wan Talat Phlu : Thai Dessert,+66 2 466 9332,4.4,฿ (传统泰式排队甜品 / 每件 10-30 THB)
Kodtalay The Riverfront Seafood Buffet,+66 96 951 6444,4,฿฿ (河畔海鲜烧烤自助 / 约 499-799 THB)
Pad Thai Mae Thong Bai,Unknown,4.1,฿฿ (蟹肉泰式炒河粉 / 150-300 THB)
Save One Go Market Yaek Kor Por Aor,+66 92 895 0699,4.5,฿ (高性价比捷运直达夜市)
Tek Heng 符德兴,+66 2 466 9037,4.3,฿฿ (百年御厨传人泰中料理 / 100-300 THB)
Ni-Ang Shaved Ice Cream,+66 81 920 6611,4.2,฿ (招牌生鸡蛋冰淇淋 / 40-70 THB)
Tia Yentafo,+66 84 073 6616,4.1,฿ (火车站旁招牌红汤米粉 / 40-60 THB)
Copper Beyond Buffet The Sense Pinklao,+66 92 281 1818,4.6,"฿฿฿฿ (高端奢华国际自助 / 1,359 THB 起)"
Flow,+66 2 278 1412,4.3,฿฿ - ฿฿฿ (质感音乐餐吧料理 / 300-700 THB)
